app_id,is_free,price_usd,release_date_str,genres_csv,categories_csv,scraped_utc
1881420,FALSE,5.59,"Nov 16, 2022",Strategy,Single-player|Multi-player|PvP|Online PvP|Steam Achievements|Partial Controller Support|Steam Cloud|Family Sharing,2026-02-27T20:39:56+00:00
1881700,TRUE,,"Jun 13, 2023",Adventure|Massively Multiplayer|RPG|Free To Play,Multi-player|MMO|PvP|Online PvP|Co-op|Online Co-op|Cross-Platform Multiplayer|In-App Purchases,2026-02-27T20:39:57+00:00
1887840,FALSE,29.99,"Apr 25, 2024",Action|Adventure|Indie,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Camera Comfort|Custom Volume Controls|Adjustable Difficulty|Stereo Sound|Steam Cloud|Family Sharing,2026-02-27T20:39:57+00:00
1888160,FALSE,59.99,"Aug 24, 2023",Action,Single-player|Multi-player|PvP|Online PvP|Steam Achievements|Steam Trading Cards|Camera Comfort|Custom Volume Controls|Playable without Timed Input|Stereo Sound|Surround Sound|Partial Controller Support|Steam Cloud|Family Sharing,2026-02-27T20:39:58+00:00
1888930,FALSE,59.99,"Mar 28, 2023",Action|Adventure,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Adjustable Text Size|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Narrated Game Menus|Save Anytime|Stereo Sound|Subtitle Options|Surround Sound|Steam Cloud|Remote Play on TV|Family Sharing,2026-02-27T20:39:58+00:00
1891700,TRUE,,"Mar 17, 2022",Action|Casual|Indie|RPG|Free To Play,Single-player|Steam Achievements|Steam Trading Cards|In-App Purchases|Custom Volume Controls|Mouse Only Option|Playable without Timed Input|Touch Only Option|Steam Cloud,2026-02-27T20:39:59+00:00
1892090,FALSE,14.99,"Feb 16, 2026",Action,Single-player|Multi-player|Co-op|Online Co-op|Steam Achievements|Steam Cloud|Family Sharing,2026-02-27T20:39:59+00:00
1895880,FALSE,59.99,"Jul 26, 2023",Action|Adventure,Single-player|Steam Achievements|Partial Controller Support|Steam Cloud|Family Sharing,2026-02-27T20:40:00+00:00
1898300,FALSE,,"20 Jun, 2024",Adventure|Simulation|Strategy|Early Access,Single-player|Multi-player|Co-op|Online Co-op|Full controller support|Steam Cloud|Family Sharing,2026-02-27T20:40:01+00:00
1898830,FALSE,9.99,"Apr 10, 2022",Casual|Animation & Modeling|Utilities,Single-player|Steam Cloud,2026-02-27T20:40:01+00:00
1903340,FALSE,49.99,"Apr 24, 2025",Action|RPG,Single-player|Steam Achievements|Full controller support|Adjustable Text Size|Custom Volume Controls|Adjustable Difficulty|Stereo Sound|Subtitle Options|Surround Sound|Steam Cloud|Family Sharing,2026-02-27T20:40:01+00:00
1904480,FALSE,24.99,"Oct 9, 2025",Action|Adventure|Indie|RPG,Single-player|Multi-player|Co-op|Online Co-op|Shared/Split Screen Co-op|Shared/Split Screen|Steam Achievements|Full controller support|Custom Volume Controls|Adjustable Difficulty|Keyboard Only Option|Playable without Timed Input|Save Anytime|Stereo Sound|Subtitle Options|Steam Cloud|Family Sharing,2026-02-27T20:40:02+00:00
1904540,FALSE,,"Nov 8, 2022",Simulation|Sports,Single-player|Multi-player|Steam Achievements|Steam Cloud|Family Sharing,2026-02-27T20:40:02+00:00
1905180,TRUE,,"Mar 21, 2022",Utilities|Video Production,,2026-02-27T20:40:03+00:00
1905950,TRUE,,"May 16, 2022",Casual|RPG|Free To Play,Single-player|Steam Achievements|Steam Trading Cards|In-App Purchases,2026-02-27T20:40:03+00:00
1909950,FALSE,59.99,"Aug 27, 2025",RPG|Simulation|Strategy,Single-player|Steam Achievements|Full controller support|In-App Purchases|Steam Cloud|Family Sharing,2026-02-27T20:40:04+00:00
1913370,FALSE,19.99,"Aug 1, 2023",Action|Indie|RPG|Simulation|Strategy|Early Access,Single-player|Multi-player|PvP|Online PvP|Co-op|Online Co-op|Steam Achievements|Family Sharing,2026-02-27T20:40:05+00:00
1919590,FALSE,,"Sep 8, 2022",Simulation|Sports,Single-player|Multi-player|PvP|Online PvP|Shared/Split Screen PvP|Co-op|Online Co-op|Shared/Split Screen Co-op|Shared/Split Screen|Steam Achievements|Full controller support|In-App Purchases|Steam Cloud|Remote Play Together|Family Sharing,2026-02-27T20:40:05+00:00
1920960,TRUE,,"Aug 13, 2023",Casual|Indie|RPG|Simulation|Free To Play,Single-player|Multi-player|Co-op|Online Co-op|Steam Achievements|Steam Workshop|Steam Cloud|Stats|Steam Leaderboards|Includes level editor,2026-02-27T20:40:05+00:00
1922560,FALSE,29.99,"May 16, 2022",Action|Casual|Strategy,Single-player|Multi-player|PvP|Online PvP|Co-op|Online Co-op|Steam Achievements|In-App Purchases,2026-02-27T20:40:06+00:00
1927780,TRUE,,"Aug 31, 2022",Strategy|Free To Play,Multi-player|MMO|PvP|Online PvP|Co-op|Online Co-op|Cross-Platform Multiplayer|In-App Purchases,2026-02-27T20:40:06+00:00
1928420,TRUE,,"Sep 21, 2023",Action|Adventure|Massively Multiplayer|Free To Play,Multi-player|PvP|Online PvP|Co-op|Online Co-op|Cross-Platform Multiplayer|Full controller support|In-App Purchases,2026-02-27T20:40:07+00:00
1928980,FALSE,5.99,"Feb 20, 2024",Action|Adventure|RPG|Early Access,Single-player|Multi-player|Co-op|Online Co-op|LAN Co-op|Steam Achievements|Partial Controller Support|Steam Cloud|Family Sharing,2026-02-27T20:40:08+00:00
1929610,FALSE,19.99,"Sep 25, 2023",Action|Adventure|Indie,Single-player|Multi-player|Co-op|Online Co-op|Steam Achievements|Steam Cloud|Family Sharing,2026-02-27T20:40:09+00:00
1933010,FALSE,7.99,"Feb 2, 2026",Action|Casual|Indie|Massively Multiplayer|Early Access,Multi-player|PvP|Online PvP|Co-op|Online Co-op|Camera Comfort|Custom Volume Controls|Playable without Timed Input|Steam Cloud|Family Sharing,2026-02-27T20:40:09+00:00
1934680,FALSE,29.99,"Sep 4, 2024",Strategy,Single-player|Multi-player|PvP|Online PvP|Co-op|Online Co-op|Cross-Platform Multiplayer|Steam Achievements|Partial Controller Support|Steam Cloud|Includes level editor|Family Sharing,2026-02-27T20:40:10+00:00
1937500,FALSE,19.99,"Jul 26, 2023",Casual|Indie|Simulation,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Steam Workshop|Steam Workshop|Steam Cloud|Family Sharing,2026-02-27T20:40:11+00:00
1938090,FALSE,,"Oct 27, 2022",Action,Single-player|Multi-player|PvP|Online PvP|Co-op|Online Co-op|Cross-Platform Multiplayer|Steam Achievements|Captions available|In-App Purchases|Adjustable Text Size|Camera Comfort|Color Alternatives|Custom Volume Controls|Playable without Timed Input|Stereo Sound|Subtitle Options|Surround Sound|Partial Controller Support|HDR available,2026-02-27T20:40:11+00:00
1939970,FALSE,3.74,"Jul 17, 2024",Adventure,Single-player|Steam Achievements|Full controller support|Steam Cloud|Family Sharing,2026-02-27T20:40:12+00:00
1940340,FALSE,39.99,"May 8, 2023",Indie|RPG|Strategy,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Steam Workshop|Steam Cloud|Family Sharing,2026-02-27T20:40:13+00:00
1941540,FALSE,49.99,"Aug 7, 2025",Action|Adventure,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Adjustable Text Size|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Stereo Sound|Subtitle Options|Surround Sound|HDR available|Family Sharing,2026-02-27T20:40:13+00:00
1942280,FALSE,4.99,"Jun 23, 2023",Action|Casual|Indie|RPG,Single-player|Multi-player|Co-op|Shared/Split Screen Co-op|Shared/Split Screen|Steam Achievements|Full controller support|Steam Trading Cards|Steam Workshop|Steam Cloud|Remote Play on TV|Remote Play Together|Family Sharing,2026-02-27T20:40:14+00:00
1943950,FALSE,9.99,"Oct 23, 2025",Action|Indie,Single-player|Multi-player|Co-op|Online Co-op|Steam Achievements|Camera Comfort|Custom Volume Controls|Adjustable Difficulty|Playable without Timed Input|Stereo Sound|Partial Controller Support|Steam Cloud|HDR available|Family Sharing,2026-02-27T20:40:15+00:00
1948280,FALSE,,"8 Apr, 2022",Casual|Indie|Simulation,Single-player|Steam Achievements|Steam Trading Cards|Steam Workshop|Partial Controller Support|Steam Cloud|Family Sharing,2026-02-27T20:40:15+00:00
1948450,FALSE,9.99,"Nov 10, 2022",Action|Casual|Strategy,Single-player|Multi-player|PvP|Online PvP|Shared/Split Screen PvP|Shared/Split Screen|Steam Achievements|Steam Trading Cards|Steam Leaderboards|Remote Play Together|Family Sharing,2026-02-27T20:40:16+00:00
1948980,FALSE,17.99,"Nov 15, 2023",Adventure|Indie|RPG|Simulation,Single-player|Steam Achievements|Full controller support|Steam Workshop|Steam Cloud|Family Sharing,2026-02-27T20:40:16+00:00
1949740,TRUE,,"May 1, 2022",Action|Casual|Indie|Free To Play,Multi-player|PvP|Online PvP|LAN PvP|Steam Achievements|Steam Workshop|In-App Purchases|Steam Cloud|Stats|Steam Leaderboards|Includes level editor,2026-02-27T20:40:17+00:00
1954200,FALSE,39.99,"Sep 26, 2022",Action|Adventure|Indie,Single-player|Steam Achievements|Full controller support|Steam Cloud|Family Sharing,2026-02-27T20:40:17+00:00
1954420,TRUE,,"Sep 8, 2022",,Multi-player|PvP|Online PvP|Cross-Platform Multiplayer|In-App Purchases,2026-02-27T20:40:18+00:00
1956740,TRUE,,"Apr 29, 2022",Action|Adventure|Massively Multiplayer|RPG|Strategy|Free To Play,Multi-player|MMO|PvP|Online PvP|Co-op|Online Co-op|Steam Achievements|In-App Purchases|Stats|Includes level editor,2026-02-27T20:40:19+00:00
1957780,FALSE,24.99,"Mar 20, 2023",Action|Early Access,Multi-player|PvP|Online PvP|Co-op|Online Co-op|Cross-Platform Multiplayer|Tracked Controller Support|VR Only|Family Sharing,2026-02-27T20:40:19+00:00
1961460,TRUE,,"Dec 12, 2022",Action|Indie|Free To Play|Early Access,Multi-player|Co-op|Online Co-op|In-App Purchases,2026-02-27T20:40:20+00:00
1966720,FALSE,9.99,"Oct 23, 2023",Action|Adventure|Indie|Early Access,Single-player|Multi-player|Co-op|Online Co-op|Custom Volume Controls|Stereo Sound|Partial Controller Support|Family Sharing,2026-02-27T20:40:21+00:00
1966900,FALSE,2.49,"Jun 8, 2023",Action|Adventure|Casual|Indie|Strategy,Single-player|Steam Achievements|Partial Controller Support|Steam Cloud|Family Sharing,2026-02-27T20:40:22+00:00
1973530,TRUE,,"26 Feb, 2023",,Single-player|In-App Purchases,2026-02-27T20:40:31+00:00
2001120,FALSE,,"6 Mar, 2025",Action|Adventure,Multi-player|Co-op|Online Co-op|Shared/Split Screen Co-op|Shared/Split Screen|Cross-Platform Multiplayer|Steam Achievements|Full controller support|Steam Trading Cards|Captions available|Camera Comfort|Color Alternatives|Stereo Sound|Surround Sound|Steam Cloud|Remote Play Together|HDR available|Family Sharing,2026-02-27T20:41:06+00:00
2016590,TRUE,,"7 Jun, 2024",Action|RPG|Free To Play|Early Access,Multi-player|PvP|Online PvP|Co-op|Online Co-op|In-App Purchases|Partial Controller Support,2026-02-27T20:41:15+00:00
2054970,FALSE,,"21 Mar, 2024",Action|RPG,Single-player|Steam Achievements|Steam Trading Cards|Partial Controller Support|Steam Cloud|HDR available|Family Sharing,2026-02-27T20:41:31+00:00
2069250,FALSE,,"13 Feb, 2026",Action|Adventure,Single-player|Steam Achievements|Full controller support|Adjustable Text Size|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Stereo Sound|Steam Cloud|Family Sharing,2026-02-27T20:42:00+00:00
2124120,FALSE,,"28 Oct, 2024",Action|Adventure|Indie|RPG|Simulation|Early Access,Single-player|Steam Achievements|Full controller support|Steam Cloud|Family Sharing,2026-02-27T20:43:03+00:00
2129530,FALSE,,"13 Feb, 2026",Adventure,Single-player|Multi-player|Co-op|Online Co-op|Shared/Split Screen Co-op|Shared/Split Screen|Cross-Platform Multiplayer|Steam Achievements|Full controller support|Steam Trading Cards|Custom Volume Controls|Playable without Timed Input|Stereo Sound|Surround Sound|Steam Cloud|Remote Play Together|Family Sharing,2026-02-27T20:43:09+00:00
2131640,FALSE,,"24 Oct, 2023",Action,Single-player|Steam Achievements|Full controller support|Family Sharing,2026-02-27T20:43:13+00:00
2132850,FALSE,14.99,"May 9, 2024",Action|Adventure|Indie|RPG,Single-player|Multi-player|Co-op|Online Co-op|Shared/Split Screen Co-op|Shared/Split Screen|Steam Achievements|Full controller support|Steam Cloud|Remote Play Together|Family Sharing,2026-02-27T20:43:16+00:00
2133760,FALSE,19.99,"Aug 7, 2025",Casual|Indie|RPG|Simulation,Single-player|Steam Achievements|Full controller support|Color Alternatives|Custom Volume Controls|Mouse Only Option|Playable without Timed Input|Stereo Sound|Touch Only Option|Steam Cloud|Family Sharing,2026-02-27T20:43:16+00:00
2134320,TRUE,,"Mar 26, 2025",Adventure|Indie,Single-player|Steam Achievements|Full controller support|Adjustable Text Size|Camera Comfort|Custom Volume Controls|Playable without Timed Input|Stereo Sound|Steam Cloud,2026-02-27T20:43:17+00:00
2135150,FALSE,19.99,"Nov 1, 2024",Indie|RPG|Simulation|Strategy|Early Access,Single-player|Multi-player|Steam Workshop|Steam Cloud|Family Sharing,2026-02-27T20:43:17+00:00
2138710,FALSE,39.99,"Mar 28, 2023",Action|Indie,Single-player|Steam Achievements|Full controller support|Steam Cloud|Family Sharing,2026-02-27T20:43:18+00:00
2138720,FALSE,29.99,"Jun 19, 2025",Action|Indie|Sports,Multi-player|Co-op|Online Co-op|Cross-Platform Multiplayer|Steam Achievements|Full controller support|In-App Purchases|Family Sharing,2026-02-27T20:43:18+00:00
2139460,TRUE,,"Jul 9, 2024",Action|Adventure|RPG|Simulation|Strategy|Free To Play,Multi-player|MMO|PvP|Online PvP|Co-op|Online Co-op|Full controller support|Steam Trading Cards|In-App Purchases,2026-02-27T20:43:19+00:00
2140020,FALSE,14.99,"Nov 7, 2023",Simulation|Strategy,Single-player|Multi-player|PvP|Online PvP|Steam Achievements|Steam Trading Cards|Steam Workshop|Custom Volume Controls|Adjustable Difficulty|Mouse Only Option|Playable without Timed Input|Save Anytime|Steam Cloud|Includes level editor|Family Sharing,2026-02-27T20:43:20+00:00
2140310,FALSE,4.99,"Feb 16, 2026",Action|Indie|Early Access,Single-player|Full controller support|Steam Cloud|Family Sharing,2026-02-27T20:43:21+00:00
2140510,TRUE,,"Aug 25, 2023",Action|Casual|RPG|Strategy|Free To Play,Multi-player|PvP|Online PvP|Steam Achievements|In-App Purchases,2026-02-27T20:43:21+00:00
